Shooting;Horse Riding;Swimming
11;46;84
99;55;15
83;97;60
24;34;42
96;94;20
45;92;60
60;100;74
16;19;40
59;51;22
18;46;38
42;48;74
26;46;29
31;29;25
82;43;50
23;39;43
33;74;35
84;33;34
58;40;44
88;89;85
10;98;31
38;39;69
12;55;14
32;77;33
47;59;67
87;72;96
30;95;70
56;78;94
81;35;33
24;23;21
100;24;18
30;53;48
90;55;94
94;78;71
26;24;29
84;11;91
80;32;86
49;78;64
42;58;90
66;73;13
78;72;27
86;93;70
34;82;25
28;76;93
89;93;17
18;76;18
100;55;41
86;95;18
49;37;67
39;93;39
43;70;11
60;56;94
30;81;76
46;99;51
38;88;43
46;97;19
55;96;64
86;81;59
95;30;86
61;60;78
90;93;48
91;52;94
85;73;74
61;18;73
11;47;60
45;83;57
54;37;52
18;23;33
67;17;54
52;68;13
30;58;96
68;49;47
62;34;20
36;85;28
99;86;65
59;30;48
15;75;75
58;83;89
81;49;96
35;91;63
38;21;21
33;79;60
71;41;84
81;67;68
99;66;54
64;24;75
11;30;49
77;78;31
65;59;70
60;84;61
23;22;72
34;45;51
85;15;82
69;87;48
37;85;13
81;49;28
56;50;48
95;26;26
26;82;76
86;41;60
47;55;72
19;80;17
60;64;23
41;32;100
80;60;84
84;40;33
11;86;73
50;81;90
67;97;71
42;83;12
93;29;57
65;38;36
72;89;91
85;30;23
85;100;73
69;83;13
92;85;89
64;34;70
54;91;66
24;33;48
27;25;68
74;81;97
10;53;85
92;37;14
14;22;13
78;81;87
81;72;71
70;36;95
39;80;86
95;95;18
43;21;34
10;86;14
97;87;58
82;78;86
86;82;98
90;59;78
76;40;49
46;100;76
41;38;55
26;33;50
35;66;61
60;66;47
65;63;33
22;44;10
98;30;83
95;19;42
73;85;72
21;31;71
88;62;99
43;79;31
83;14;88
44;64;54
81;29;16
14;41;51
14;38;71
88;33;80
29;96;65
91;17;86
62;95;48
61;37;27
82;20;31
70;54;86
23;35;14
30;39;45
71;44;74
42;31;98
22;50;93
77;41;100
63;93;95
11;54;32
28;35;42
50;96;87
35;18;21
39;38;50
75;100;84
49;42;15
46;54;56
38;31;87
38;84;80
33;86;33
55;13;59
88;53;54
74;79;63
85;17;92
35;83;92
19;32;33
24;68;77
70;97;99
57;35;83
36;58;68
60;12;71
19;91;24
64;64;93
26;48;10
18;74;83
100;83;15
32;97;73
100;67;70
98;23;95
80;50;52
47;10;55
18;19;45
32;74;100
24;91;48
25;99;21
99;98;94
